id,content,cleaned_content,user_id,article_id,article_title,article_type,sentiment,is_reply,parent_id,created_at,timestamp
1,Cảm ơn tác giả đã chia sẻ thông tin tuyệt vời,cảm ơn tác giả đã chia sẻ thông tin tuyệt vời,20,ART_008,Bài viết số 7,Thể thao,positive,False,,2025-06-27 16:00:33.188838,1750582833
2,Không phù hợp với tiêu đề,không phù hợp với tiêu đề,18,ART_007,Bài viết số 18,Kinh tế,negative,True,,2025-07-14 16:00:33.188838,1750928433
3,Cảm ơn vì đã chia sẻ kiến thức,cảm ơn vì đã chia sẻ kiến thức,35,ART_009,Bài viết số 12,Công nghệ,positive,False,1.0,2025-07-07 16:00:33.188838,1751014833
4,Nội dung quá ngắn và sơ sài,nội dung quá ngắn và sơ sài,7,ART_016,Bài viết số 9,Tin tức,negative,True,,2025-07-03 16:00:33.188838,1752051633
5,Cảm ơn tác giả đã chia sẻ thông tin tuyệt vời,cảm ơn tác giả đã chia sẻ thông tin tuyệt vời,5,ART_015,Bài viết số 4,Thể thao,positive,False,2.0,2025-07-13 16:00:33.188838,1751619633
6,Nội dung quá ngắn và sơ sài,nội dung quá ngắn và sơ sài,16,ART_006,Bài viết số 7,Thể thao,negative,False,,2025-06-22 16:00:33.188838,1752656433
7,Quan điểm có vẻ thiên lệch,quan điểm có vẻ thiên lệch,29,ART_020,Bài viết số 9,Thể thao,negative,True,,2025-06-19 16:00:33.188838,1751360433
8,Nội dung lặp lại nhiều,nội dung lặp lại nhiều,18,ART_005,Bài viết số 19,Tin tức,negative,True,,2025-07-14 16:00:33.188838,1750410033
9,Viết không rõ ràng,viết không rõ ràng,13,ART_015,Bài viết số 6,Kinh tế,negative,False,,2025-07-16 16:00:33.188838,1752483633
10,Đây là một góc nhìn,đây là một góc nhìn,44,ART_012,Bài viết số 16,Kinh tế,neutral,False,7.0,2025-07-04 16:00:33.188838,1752138033
11,Vấn đề này khá phức tạp,vấn đề này khá phức tạp,26,ART_005,Bài viết số 7,Thể thao,neutral,False,,2025-07-05 16:00:33.188838,1751792433
12,Không phù hợp với tiêu đề,không phù hợp với tiêu đề,38,ART_004,Bài viết số 2,Tin tức,negative,True,9.0,2025-06-24 16:00:33.188838,1750928433
13,Mỗi người có quan điểm khác nhau,mỗi người có quan điểm khác nhau,47,ART_020,Bài viết số 14,Thể thao,neutral,False,6.0,2025-06-27 16:00:33.188838,1752224433
14,Rất hữu ích cho công việc của tôi,rất hữu ích cho công việc của tôi,17,ART_002,Bài viết số 7,Công nghệ,positive,False,12.0,2025-07-09 16:00:33.188838,1750582833
15,Quan điểm có vẻ thiên lệch,quan điểm có vẻ thiên lệch,6,ART_016,Bài viết số 7,Công nghệ,negative,False,,2025-07-13 16:00:33.188838,1750323633
16,Nội dung lặp lại nhiều,nội dung lặp lại nhiều,16,ART_017,Bài viết số 12,Tin tức,negative,False,,2025-06-18 16:00:33.188838,1751360433
17,Thông tin không chính xác,thông tin không chính xác,15,ART_002,Bài viết số 1,Tin tức,negative,True,,2025-07-12 16:00:33.188838,1750928433
18,Thiếu tính thuyết phục,thiếu tính thuyết phục,6,ART_001,Bài viết số 13,Giải trí,negative,False,,2025-07-10 16:00:33.188838,1750928433
19,Vấn đề này khá phức tạp,vấn đề này khá phức tạp,30,ART_012,Bài viết số 13,Công nghệ,neutral,False,,2025-06-24 16:00:33.188838,1752397233
20,Viết không rõ ràng,viết không rõ ràng,11,ART_007,Bài viết số 3,Kinh tế,negative,True,,2025-06-19 16:00:33.188838,1752138033
